date, temp (C), RH (%), epoch time (s)
2018-04-10_122807,23.18,25.29,1523381287.835441
2018-04-10_122817,23.19,25.28,1523381297.835455
2018-04-10_122827,23.17,25.23,1523381307.835469
2018-04-10_122837,23.18,25.26,1523381317.835483
2018-04-10_122847,23.19,25.26,1523381327.8354971
2018-04-10_122857,23.18,25.25,1523381337.835511
2018-04-10_122907,23.21,25.28,1523381347.835525
2018-04-10_122917,23.18,25.28,1523381357.835539
2018-04-10_122927,23.18,25.22,1523381367.835553
2018-04-10_122937,23.18,25.22,1523381377.835567
2018-04-10_122947,23.19,25.19,1523381387.8355813
2018-04-10_122957,23.19,25.18,1523381397.835595
2018-04-10_123007,23.21,25.23,1523381407.8356092
2018-04-10_123017,23.21,25.21,1523381417.8356233
2018-04-10_123027,23.21,25.24,1523381427.835637
2018-04-10_123037,23.18,25.21,1523381437.8356512
2018-04-10_123047,23.19,25.24,1523381447.8356652
